Quiz-1 Points Grade <Numeric MaxPoints:25 Weight:20 Category:Quiz CategoryWeight:25>,Quiz-2 Points Grade <Numeric MaxPoints:30 Weight:20 Category:Quiz CategoryWeight:25>,Quiz-3 Points Grade <Numeric MaxPoints:25 Weight:20 Category:Quiz CategoryWeight:25>,Quiz-4 Points Grade <Numeric MaxPoints:30 Weight:20 Category:Quiz CategoryWeight:25>,Quiz-5 Points Grade <Numeric MaxPoints:25 Weight:20 Category:Quiz CategoryWeight:25>,Assignment 1 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Assignment 2 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Assignment 3 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Assignment 4 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Assignment-5 Points Grade <Numeric MaxPoints:100 Weight:20 Category:Assignments CategoryWeight:25>,Midterm Points Grade <Numeric MaxPoints:100 Weight:25>,Final Exam Points Grade <Numeric MaxPoints:100 Weight:25>,WeightedTotal
22,26,22,26,21,100,120,115,120,115,94,88,95.73261649
17,21,11,18,20,100,116,63,116,88,66,56,70.91690562
18.5,22.5,22,22,15,78,120,117,107,89,86,74,84.20328554
21,30,24,28,27,100,116,100,102,100,105,74,94.77592593
25,30,23,25,25,100,120,120,120,117,105,97,103.1166667
22,29,25,28,27,100,116,112,112,110,93,94,98.59982079
0,17,22,21,17,98,118,100,110,100,64,67,73.25322581
25,28,25,24,27,100,120,120,98,100,110,96,102.4774194
0,11.5,17,21,11,62.4,63,18,60,42.6,68,92,63.41612903
23,22,22,29,27,76.8,99,74.4,94,80,81,87,86.18264038
23,29.5,25,30,27,100,120,120,120,119,98,98,102.8989845
22.5,24,24,30,22,100,120,120,120,108,93,93,97.6692951
18,13,11,16,19,98,78.4,97,100,63.2,56,81,70.70843489
25,29,25,30,27,90,120,100,120,100,110,100,104.2387097
23,17,23,26,21,100,118,100,114,100,72,76,84.26618877
21,15.5,18,28,17,98,100,100,115,90,75,74,80.98721625
13,26,21,15,20,100,119,120,118,95,89,78,87.18261649
17,25,24,23,19,84,111,97,100,86,101,74,87.79540024
23,27,25,23,27,100,120,120,120,119,106,100,103.829092
17,21.5,18,21.5,17,96,116,97,100,100,76,80,82.18088411
15,23.5,21,0,21,94,120,98,120,99,78,85,82.79976105
23,22,18,26,27,99,118,94,117,115,106,94,98.82264038
22.5,30,25,23,25,100,120,91,98,100,110,96,100.3203704
13,15,18,21,18,100,120,100,116,112,82,70,81.45842294
23,23,23,22,26,100,120,91,98,100,102,69,90.16726404
0,28.18181818,23,26,22,71.8,100,97,100,99,80,88,85.21327273
25,30,23,27,25,100,96.5,100,100,100,91,92,94.755
23,25.45454545,19,20,19,100,94.5,100,94.5,99,88,83,87.80818182
25,30,23,30,22,95.1,90,100,100,95.5,85,74,87.732
25,30,23,30,25,100,100,100,100,94,87,84,92.03
18,26.36363636,23,30,19,80,96.5,100,97,75,84,78,84.27954546
23,30,19,30,18,100,100,100,100,99,86,98,93.89
25,28.18181818,25,23,23,97.3,92.5,100,90,100,92,82,90.52327273
25,24.54545455,25,27,22,100,91.5,94,95,95,85,84,88.90681818
23,30,25,28,25,100,97,100,100,100,96,92,96.19
25,30,23,30,23,100,86,56,83.5,79.2,74,97,85.539
25,23.63636364,25,18,14,75.1,96.5,95,88.5,96,77,83,82.50245455
25,30,23,30,23,100,100,100,100,100,91,80,92.21
25,30,22,30,25,100,96.5,100,100,98,92,90,94.665
23,0,23,22,14,0,0,0,0,0,78,49,40.63
17,21.81818182,18,23,11,80,43.8,88,0,0,80,84,64.61872727
17,30,17,23,14,100,89.5,70,40.2,98.5,81,82,78.854
25,28.18181818,25,30,22,100,96.5,100,100,100,99,96,97.87227273
23,30,23,30,18,100,100,100,100,99,89,98,95.24
25,30,24,23,23,97.3,92.5,100,90,100,96,86,92.646
20,22.09090909,23,30,18,100,0,0,99,100,90,85,76.60363636
23,0,25,28,20,100,91,98,80,100,92,92,89.63
21,24.54545455,20.67,28,18,100,75.6,100,95,99,73,82,83.41431818
23,30,23,28,21,80,100,80,100,88,90,94,90.98
25,27.27272727,23,27,23,100,96.5,94,93,97,95,93,94.23590909
25,28.18181818,25,30,25,100,100,100,100,100,94,94,96.72727273
21,27.27272727,23,20,21,100,86.5,100,98,99,76,90,87.05590909
23,30,25,30,20,100,100,95,95,100,83,74,87.65
23,24.54545455,21,30,18,100,86,56,83.5,79.2,84,98,86.27081818
17,30,17,23,16,100,89.5,70,40.2,98.5,86,86,81.344
25,27.27272727,25,27,23,100,96.5,94,93,97,96,96,95.53590909
25,27.27272727,25,27,23,74.8,91.5,97,94,93,79,94,88.67190909
25,27.27272727,22.67,28,21,100,100,100,96,99,92,96,95.11140909
23,25.45454545,22,26,23,95.5,100,100,98,100,96,100,96.27318182
23,26.36363636,25,25,21,80,100,80,100,88,90,78,86.28454546
23,25.45454545,25,26,22,100,93.2,100,95,99,91,100,94.91218182
23,26.36363636,19,27,11,91,96.5,100,100,95,94,80,88.39954546
19,27.27272727,19.67,21,4,100,100,100,96,100,56,82,78.24140909
25,29.09090909,25,28,22,100,69.2,99,99,100,87,94,92.15763636
23,27.27272727,14.67,26,21,100,94.5,100,94.5,99,83,80,86.57140909
25,28.18181818,25,30,19,100,82.5,100,97,100,78,82,87.57227273
25,30,23,30,25,100,96.5,97,96,100,92,90,94.465
22,30,25,30,19,64.3,30,95,98,100,95,94,88.191
22,22.72727273,23,28,18,66.32,69.2,100,100,90,86,90,85.80549091
20,25.45454545,21,27,20,100,84.5,82,87,89,81,90,85.64318182
19,30,19,30,15,100,73.5,100,90,99,84,82,85.875
23,26.36363636,22,28,25,80,96.5,100,100,98,82,95,90.86954546
25,28.18181818,22,28,22,100,96.5,100,98,99,94,92,94.66227273
23,27.27272727,21,28,25,80,96.5,100,100,98,87,96,92.35590909
25,27.27272727,23,27,23,74.8,91.5,97,94,93,92,94,91.62190909
22,21.81818182,25,25,22,97,96.5,90,90,100,96,100,94.35772727
25,28.18181818,22.67,28,18,100,100,99,100,100,97,93,95.66777273
21,25,23,27,18,80,86.5,100,98,99,71,90,84.755
23,28.18181818,17,25,21,100,96.5,97,100,100,92,80,89.54227273
19,30,21,27,18,80,96.5,0,77.6,0,81,90,72.747
23,23.63636364,25,30,21.5,93.1,95,70,52,70.8,63,71,73.48845455
23,30,24,24,25,100,96.5,100,100,100,93,90,94.155
13,29.09090909,20.5,22,23,100,94.5,100,95,98,75,80,83.82363636
15,26.36363636,25,30,21,31.44,80,100,90,76,84,82,80.39534546
25,30,23,30,25,100,96.5,100,100,98,92,90,94.815
22,27.27272727,19,22,16,91,96.5,100,100,95,81,90,87.48590909
25,30,23,30,20,100,96.5,100,95,99,80,96,92.435
25,30,23,30,25,100,96.5,99,96,100,96,88,95.105
25,22.72727273,20,30,10.5,80,30,100,71,58,77,80,74.39909091
22,20.90909091,20,28,13,66.32,69.2,100,100,90,85,88,83.73276364
21.5,30,17,24,0,100,83.5,98,91,96.5,84,90,85.705
25,28.18181818,24,30,25,100,96.5,100,100,100,99,96,98.08227273
23,27.27272727,21,30,18,100,100,100,100,93,87,98,93.61090909
22,30,23,28,23,135,100,100,99,100,99,90,97.52636364
14,30,20,18,0,90,100,100,98,100,62,60,70.18
25,29.63636364,21,26,24,135,100,96,100,100,100,100,100.0054545
25,27.45454545,25,30,25,125,100,100,100,100,97,88,97.24090909
21,16.69090909,15,28,0,110,100,95.5,78,47,65,80,72.21818182
19,27.45454545,18.5,20,14,100,77,100,90,100,72,90,81.51090909
20,30,13.5,28,18,109.8,100,69,100,100,93,94,90.50527273
24,30,21,26,22,135,100,100,99,100,77,94,92.44454546
9,28.18181818,12.75,26,17,110,80,53.4,70.4,78.4,59,44,61.01381818
22,24.18181818,21,30,21,100,84,100,100,100,76,84,85.74909091
23,28.18181818,23,28,22,110,100,97,100,100,90,86,92.31090909
25,29.63636364,23,28,16,135,100,98,100,100,95,80,93.22090909
19,24.54545455,20.75,28,20,125,100,99,90,100,89,88,90.64
22,28.90909091,22.75,30,22,135,98,100,100,100,88,88,94.16636364
22,27.81818182,24.5,24,22,110,0,0,86,50,84,72,70.87818182
16,28.90909091,25,28,23,131,98,100,100,100,68,68,82.95818182
23,17.63636364,21.75,28,18,98,100,98,98,100,91,90,89.69454546
25,27.81818182,18.75,24,14,99,100,100,100,100,83,86,87.30363636
22,27.45454545,24.75,30,24,115,100,98,100,100,66,84,86.93909091
25,26.36363636,23,30,19,110,100,100,100,100,98,80,92.88181818
8,30,19,24,21,109.8,100,69,100,100,49,78,73.95072727
22,28.90909091,25,30,22,135,100,100,100,100,90,92,96.23636364
18,27.81818182,13.75,24,15,99,94,100,100,100,66,78,78.47545455
21,29.63636364,20.75,28,24,109,94,100,100,100,94,90,93.87545455
21,26.72727273,22,26,25,135,100,100,97,100,84,92,93.06545455
23,29.63636364,19,28,21,132,99,96,100,90,101,86,94.97
25,28.18181818,23,30,24,135,100,98,98,100,96,96,98.91454546
23,19.6,14.75,28,18,135,98,97,100,90,88,92,89.99727273
21,27.45454545,23,26,24,125,100,98,100,100,92,90,94.18909091
19,22.72727273,16,26,19,135,100,98,100,100,85,82,87.38454546
23,23.09090909,16.75,30,23,135,98,100,100,100,94,96,95.68454546
25,30,22,26,17,135,100,98,100,100,101,88,96.37545455
24,29.27272727,19,24,21,99,98,91,100,100,92,92,91.80727273
24,24.18181818,22,30,22,135,100,100,100,100,94,96,97.09090909
22,22,25,24,20,125,84,18,4,0,96,51,66.30090909
23,28.18181818,20.75,24,20,125,85,100,90.5,100,90,80,88.80727273
22,28.18181818,23,30,22,110,100,100,100,100,99,88,95.44090909
25,29.63636364,21,28,24,100,85,94,100,75,89,88,90.03545455
14,23.09090909,18.75,24,13,81.8,100,90,91,100,84,75,79.30436364
22,26.72727273,25,28,19,135,100,99,90,100,97,92,95.94454546
22,29.63636364,21,28,23,10,100,100,100,100,85,65,79.86363636
19,28.18181818,18,28,12,131,78,96,100,100,90,67,83.82272727
20,29.63636364,24.75,24,18,124,100,97,100,100,88,86,91.16454546
21,24.54545455,17,30,22,100,67.2,100,94,100,70,84,82.13563636
19,17.27272727,21,30,23,135,100,100,98,100,96,90,93.57090909
22,29.63636364,20.75,26,16,110,91,98,75.2,100,79,48,76.24290909
10,0,0,20,12,10,0,0,30.16,0,48,38,28.54596364
25,28.18181818,19,28,12,135,85,100,90.5,100,90,60,83.80272727
19,28.18181818,22,22,21,10,0,0,0,50,71,68,53.85909091
18,28.18181818,18.75,24,19,135,95,80,100,99,77,84,85.48545455
22,28.54545455,21,30,24,0,89,95,100,99,86,74,81.10727273
25,0,25,30,25,135,94,98,100,100,96,90,94.12
17,28.90909091,17.75,24,15,110,95,90,100,99.5,72,72,79.38363636
19,28.54545455,21,28,22,135,100,100,100,99,90,86,92.80363636
19,30,23,30,22,135,95,98,100,100,99,88,96.28454546
18,24.18181818,21,26,12,125,97.5,100,100,100,92,88,89.82272727
25,27.45454545,25,27,21,125,95,100,97,98.5,95,94,96.34363636
16,27.81818182,22.75,24,19,133,89,98,100,100,72,84,85.22272727
17,30,18.5,30,20,135,71.5,100,100,100,61,88,83.83090909
15,30,20.5,26,21,110.1,95,0,92,100,69,80,76.64872727
20,28.54545455,25,26,17,10,0,12,93,77.2,103,82,74.23654546
23,30,25,30,22,110,100,100,100,100,96,92,96.65454546
15,30,19,28,16,90,88,100,80,100,68,80,79.24363636
20,30,25,28,16,135,94,100,100,96,97,94,96.21363636
22,30,23,26,23,100,100,100,100,100,103,96,97.58636364
23,29.63636364,24.75,30,20,135,100,100,100,100,90,94,96.66818182
18,27.81818182,25,30,24,135,95,100,100,100,100,96,98.78181818
10,30,17,26,16,135,83,93,93,100,64,70,76.70363636
25,30,23,30,21,135,100,100,100,100,94,96,98.47272727
20,30,25,28,21,135,0,0,100,100,96,91,84.72272727
18,30,19.5,24,21,135,89,100,100,100,77,90,88.76272727
15,30,25,30,25,135,0,0,100,99.5,88,78,79.57
17,30,17.75,24,11,10,92,100,87,78,65,72,69.47454546
25,27.81818182,25,30,25,135,100,100,100,98,96,100,100.5436364
25,26.36363636,21,30,25,100,100,98,100,96,91,92,93.86272727
19,30,23,30,21,135,97,100,100,100,103,90,97.84272727
23,30,19,30,22,135,100,100,100,100,86,92,94.45454546
21,27.09090909,19,28,23,100,95,95.5,0,93,78,92,82.16454546
25,30,22.75,30,20,105.5,95,100,100,100,91,90,93.92090909
25,30,21,26,24,135,96,100,100,100,89,68,89.32818182
8,30,18,28,20,135,91,100,100,100,64,84,82.45090909
22,30,21.75,28,22,100,77,100,100,64.8,77,81,83.81254546
22,29.63636364,25,30,25,135,100,100,100,100,86,86,94.42727273
22,30,19,24,21,86,95,100,100,99.5,72,90,85.60272727
23,25.63636364,19,30,20,135,95,90,86,100,79,90,89.22818182
18,27.09090909,20.5,28,22,135,88,100,100,99.5,81,80,87.77272727
20.5,30,23,30,15,43,95,97.5,78.4,50.4,82,82,79.73981818
19,30,22.75,28,21,25,100,97,100,100,78,88,84.04272727
22,30,25,30,25,135,100,100,100,99,98,84,96.94
12,26.36363636,18.75,26,13,135,80,94.5,100,89,64,82,78.85090909
23,30,20,28,21,110,95,100,100,80,94,96,94.07272727
22,28.54545455,15,24,15,100,100,94.5,100,91.5,90,78,85.25090909
22,30,18.5,28,21,129,95,100,100,99.5,87,86,91.63272727
22,28.54545455,19,28,25,135,86,98,100,100,92,78,91.14909091
16,30,24.75,26,13,110,100,100,100,100,102,86,92.76818182
25,30,20,28,19,110,95,100,100,100,98,96,96.30909091
21,30,23,28,21,135,100,100,100,100,97,96,98.02272727
19,27.09090909,16.5,28,21,135,71.5,100,100,100,65,90,84.53090909
20,30,22.5,30,20,135,95,100,100,100,80,88,91.39090909
20,30,23,30,20,135,95,100,100,100,82,80,89.99090909
10,27.09090909,21,28,21,37.44,90,100,88,99,82,92,82.85730909
20,23.81818182,22.5,26,18,135,95.5,95.5,88,100,85,80,87.28090909
22,30,25,30,24,135,100,100,100,100,101,98,101.0681818
22,30,23,28,23,135,95,95,100,99,93,84,93.92636364
19,27.09090909,16.5,28,22,86,95,100,100,99.5,66,83,81.65272727
20,30,21,30,25,135,92,100,100,100,81,86,91.57
22,28.54545455,24,26,23,110,100,100,100,80,86,94,92.14545455
21,30,21,30,23,135,92,100,100,100,85,92,93.90636364
22,28.54545455,20.75,24,25,135,92.5,96,100,100,88,80,90.46909091
25,29.27272727,23,30,25,100,0,0,62,68,101,82,79.00454546
23,29.63636364,25,26,23,10,81,0,100,73,99,90,81.45363636
13,27,10.5,20,25,0,0,,110,75.2,84,96,72.01
15,25,23.5,24.25,22,89.5,100,100,97,98.9,92,91,90.47833333
17,28,19,22.25,20.5,47.1,80,94,68,100,76,75,77.35083333
25,27,23,26,24.5,100,100,100,100,100,94,76,91.27083333
22,30,23,26.25,24.5,100,89.5,95,110,100,90,96,94.87083333
21,22,15,21.5,21.5,100,100,100,101,98.9,81,92,87.34916667
23,26,19,22.25,16.5,100,100,99,100,100,76,53,77.59583333
13,27,25,24.75,19.5,100,100,96,100,100,90,92,90.52916667
8,30,20,22.75,20.5,100,98,75.5,100,100,66,78,78.2375
18,26,13,22,22,100,71.6,75.08,93,42.6,65,75,72.90566667
15,23,21,22,19,70.1,77,91,87.5,80,74,72,75.57166667
20,30,15,20.75,16.5,100,100,90,95,0,78,78,77.72916667
23,30,23,23.75,19.5,100,89.5,96,110,100,70,84,86.12916667
14,30,16,19.25,17.5,54.5,100,96.35,100,100,95,89,86.98
25,27,25,26,25,100,100,100,107,98.9,94,89,95.42
18,24,20,22,23,74.2,72.4,100,77.6,98.9,75,69,77.48833333
25,20,21,22.25,18.5,100,95,97,92.5,97.9,84,98,90.1825
10,27,20,21.5,18,100,95,96.5,105,98.9,84,88,85.68666667
23,30,25,25.25,20.5,100,100,100,110,100,84,88,92.0625
18,28,17,22.75,22.5,100,0,80,100,0,74,79,72.5625
25,30,23,27.5,25,100,100,95.5,110,98.9,82,85,91.47
21,27,23,24.75,21.5,100,89.5,95,110,100,76,87,87.62083333
25,25,22.5,25,22.5,77.5,98,100,100,94,70,71,81.5375
17,27,21,24,22.5,95.2,100,100,101,98.9,80,91,88.35916667
25,24,25,25,24.5,100,100,100,110,100,100,92,97.14583333
25,27,23,26,23,100,100,100,110,100,96,98,97.45833333
25,30,23,24.75,19.5,82,98,39,92.5,100,72,74,80.42916667
21,27,20,24,22,100,100,100,89.5,100,96,77,89.225
25,24,25,25,24.5,100,60,46.8,100,98.9,83,84,85.68083333
14,26,,20.5,15.5,84,,0,0,0,,,17.3875
25,30,16,25.5,21,100,100,100,100,97.9,95,92,93.56166667
22,0,21,20.5,15,100,96,98.5,76,100,96,84,83.44166667
25,0,23,23,0,100,0,0,0,0,68,80,54
25,27,19,24.75,19.5,100,95,94.5,100,100,88,70,85.70416667
22,30,25,26.5,23,74.8,98,97,100,92,92,83,90.67333333
23,26,21,24.5,23.5,100,100,98.5,105,100,86,89,91.27916667
24,30,22,25,21,100,100,100,100,100,98,75,91.41666667
25,30,25,27.5,25,100,100,92.5,100,100,94,86,94.625
18,25,23,24,20.5,100,100,96,100,100,83,76,85.32083333
22,26,23,23,18,100,100,100,100,100,79,88,88.20833333
18,30,25,27.5,25,100,80,98.5,100,100,84,80,88.175
15,25,23,20.5,13,100,77.5,100,100,100,92,80,85.33333333
24,30,18,23.75,18.5,0,72,90,99.5,98.9,78,52,72.16583333
25,30,25,27.25,24.5,100,95.5,100,110,100,100,98,99.67083333
15,25,23,20.25,12.5,100,77.5,100,100,100,85,80,83.47916667
20,28,20,24,23.5,92.5,85,100,88,100,84,87,87.79583333
25,30,23,25.25,20.5,100,100,100,100,97.9,100,84,94.4575
21,26,18,23.5,21.5,100,93.5,100,100,75.2,88,73,84.3725
6,27,24,25.5,22,100,95,96.5,105,98.9,80,78,83.02
20,30,22,23.25,19.5,97,94,89.5,89.5,94.9,72,78,82.59916667
25,30,23,25.25,20.5,100,89.5,96,110,100,70,84,86.8375
22,27,16,24,21,0,100,80,100,42.6,94,93,83.42166667
21,30,21.5,24.75,23,100,100,98.35,89.5,100,72,92,88.10083333
21,23,23,23,22,36.3,0,0,0,0,74,78,61.23166667
23,30,21,26.25,24.5,97,95,100,107,100,78,76,86.84583333
20,27,24.5,25.5,21.5,100,90.5,100,95,100,84,100,92.54583333
19,28,13,23.25,22.5,36.3,100,95,100,88.6,82,82,81.5575
24,20,21,22.5,19.5,100,95,97,92.5,97.9,96,98,93.14083333
12,28,21,22.75,19.5,9,9,17.61,66.8,80,70,,45.808
25,28,21,26.25,22.5,92.5,100,98.35,100,100,94,81,91.355
13,25,19,22,21,36.3,72,100,108,98.9,64,94,78.885
